theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-11-09,0.4300,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_baselineCountsByDay,all,all,default,2024,2024-11-09,0.0700,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-11-08,0.4300,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_baselineCountsByDay,all,all,default,2024,2024-11-08,0.0700,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-11-07,0.4300,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_baselineCountsByDay,all,all,default,2024,2024-11-07,0.0700,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-11-06,0.4300,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_baselineCountsByDay,all,all,default,2024,2024-11-06,0.0700,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-11-05,0.2900,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_baselineCountsByDay,all,all,default,2024,2024-11-05,0.0800,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_averageRolling7Day,all,all,default,2024,2024-11-04,0.2900,False
climate_and_environment,seasonal_environmental,heat-or-sunstroke,Nation,England,heat-or-sunstroke_syndromic_emergencyDepartment_baselineCountsByDay,all,all,default,2024,2024-11-04,0.0800,False
