lat,lon,uv_mean
-4.52,-59.74,1.879834523809524
-4.52,-58.24,1.8849654761904762
-4.52,-56.74,1.9385964285714286
-4.52,-55.24,1.9228523809523808
-4.52,-53.74,1.9275214285714286
-4.52,-52.24,1.930375
-4.52,-50.74,2.0152738095238094
-4.52,-49.24,2.130557142857143
-4.52,-47.74,2.2584714285714287
-4.52,-46.24,2.217195238095238
-4.52,-44.74,2.2102083333333336
-4.52,-43.24,2.2779428571428575
-4.52,-41.74,2.3288083333333334
-4.52,-40.24,2.288841666666667
-4.52,-38.74,2.261084523809524
-4.52,-37.24,2.364870238095238
-4.52,-35.74,2.4360452380952378
-3.02,-70.24,2.093019047619048
-3.02,-68.74,1.9518964285714286
-3.02,-67.24,1.944922619047619
-3.02,-65.74,1.946777380952381
-3.02,-64.24,1.9284607142857142
-3.02,-62.74,2.0965583333333333
-3.02,-61.24,1.9264428571428573
-3.02,-59.74,1.8886071428571427
-3.02,-58.24,1.9014726190476192
-3.02,-56.74,2.0181
-3.02,-55.24,1.9632
-3.02,-53.74,1.9382904761904762
-3.02,-52.24,1.9553714285714285
-3.02,-50.74,1.9985238095238094
-3.02,-49.24,2.0567309523809523
-3.02,-47.74,2.1012333333333335
-3.02,-46.24,2.0821440476190474
-3.02,-44.74,2.1217261904761906
-3.02,-43.24,2.2388238095238093
-3.02,-41.74,2.298325
-3.02,-40.24,2.2387345238095238
-3.02,-38.74,2.318740476190476
-1.52,-70.24,2.006042857142857
-1.52,-68.74,1.8788166666666666
-1.52,-67.24,1.9000809523809523
-1.52,-65.74,1.9355071428571429
-1.52,-64.24,1.9553178571428569
-1.52,-62.74,2.095814285714286
-1.52,-61.24,1.9314749999999998
-1.52,-59.74,2.0048607142857144
-1.52,-58.24,2.0065011904761905
-1.52,-56.74,2.100138095238095
-1.52,-55.24,2.12655
-1.52,-53.74,2.1386107142857145
-1.52,-52.24,2.0998083333333333
-1.52,-50.74,2.114997619047619
-1.52,-49.24,2.181704761904762
-1.52,-47.74,2.099957142857143
-1.52,-46.24,2.043757142857143
-1.52,-44.74,2.2454750000000003
-0.02,-70.24,1.887188095238095
-0.02,-68.74,1.8702547619047618
-0.02,-67.24,1.904372619047619
-0.02,-65.74,1.9596690476190477
-0.02,-64.24,1.9369809523809522
-0.02,-62.74,1.9738333333333333
-0.02,-61.24,1.9622571428571427
-0.02,-59.74,2.059804761904762
-0.02,-58.24,2.0987059523809526
-0.02,-56.74,2.131877380952381
-0.02,-55.24,2.1293273809523807
-0.02,-53.74,2.104375
-0.02,-52.24,2.1044869047619046
-0.02,-50.74,2.0956035714285712
-0.02,-49.24,2.0548130952380954
-0.02,-47.74,2.169865476190476
1.48,-70.24,1.9057761904761905
1.48,-68.74,1.888997619047619
1.48,-67.24,1.961797619047619
1.48,-65.74,1.9793333333333336
1.48,-64.24,2.0060904761904763
1.48,-62.74,2.0222214285714286
1.48,-61.24,2.057734523809524
1.48,-59.74,2.1118369047619048
1.48,-58.24,2.075167857142857
1.48,-56.74,2.4355809523809526
1.48,-55.24,2.1448345238095237
1.48,-53.74,2.145429761904762
1.48,-52.24,2.110325
1.48,-50.74,2.0414166666666667
1.48,-49.24,2.1958726190476194
2.98,-64.24,2.080011904761905
2.98,-62.74,2.0887559523809522
2.98,-61.24,2.1873
2.98,-59.74,2.1095178571428574
2.98,-56.74,2.1619107142857144
2.98,-55.24,2.1375357142857143
2.98,-53.74,2.1344309523809524
2.98,-52.24,2.1044535714285715
2.98,-50.74,2.1182142857142856
4.48,-64.24,2.1140988095238096
4.48,-62.74,2.245396428571429
4.48,-61.24,2.268845238095238
4.48,-59.74,2.215919047619048
4.48,-52.24,2.0629535714285714
4.48,-50.74,2.307471428571428
5.98,-59.74,2.116045238095238
